"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"2910","DJI",1969,NA,NA,119.061354953296,28.1416946192451
"2911","DJI",1970,NA,NA,158.149118700309,27.946954782864
"2912","DJI",1971,NA,NA,148.743749192107,27.3597531760234
"2913","DJI",1972,NA,NA,203.168046819322,27.7528008074802
"2914","DJI",1973,NA,NA,146.084975180299,27.8778117328017
"2915","DJI",1974,NA,NA,215.336876326677,27.2915808607811
"2916","DJI",1975,NA,NA,127.301144992274,27.8386319225346
"2917","DJI",1976,NA,NA,153.802383775083,27.5835727487006
"2918","DJI",1977,NA,NA,205.213417011064,27.9986348342133
"2919","DJI",1978,NA,NA,180.409397333884,27.9921667217784
"2920","DJI",1979,NA,NA,154.023611070836,27.7316773313878
"2921","DJI",1980,NA,NA,103.972306735055,28.3370059430553
"2922","DJI",1981,NA,NA,199.006853771505,27.7387853793005
"2923","DJI",1982,NA,NA,228.227425791795,27.8475406438613
